,name,wikidata,dates,gender,citizenship,birthplace,birth country,place of death,country of death,language,instrument
232,Girolamo Scotto,http://www.wikidata.org/entity/Q5564788,1505-1572,male,Republic of Venice,Milan,Italy,Venice,Italy,,
233,Pietro Taglia,http://www.wikidata.org/entity/Q7193041,1555-65,male,,,,,,,
234,Stefano Venturi del Nibbio,http://www.wikidata.org/entity/Q7606503,1592-1600,male,,,,,,,
235,Antonio Francesco Tenaglia,http://www.wikidata.org/entity/Q10954739,1612-1672,male,,Florence,Italy,Rome,Italy,,organ
236,Orfeo Vecchi,http://www.wikidata.org/entity/Q11939478,1551-1603,male,,,,,,,
237,Thomas Vautor,http://www.wikidata.org/entity/Q11951781,1600-1620,male,Kingdom of England,,,,,,
238,Bartolomeo Spontone,http://www.wikidata.org/entity/Q21001517,1530-1592,male,,,,,,,
239,Melchior Schramm,http://www.wikidata.org/entity/Q24049612,1553-1619,male,,Ziębice,Poland,Offenburg,Germany,,organ
240,Agostino Soderini,http://www.wikidata.org/entity/Q77535913,1575-1607,,,,,,,,
241,Camillo Zanotti,http://www.wikidata.org/entity/Q84562722,1545-1591,male,,,,,,,
242,Cesare Zoilo,http://www.wikidata.org/entity/Q109265169,1584-1622,male,Papal States,,,Rome,Italy,,
243,Flaminio Tresti,http://www.wikidata.org/entity/Q110222853,1560-1613,,,,,,,,
244,Tielman Susato,http://www.wikidata.org/entity/Q547783,1500-1570,male,Habsburg Netherlands,Soest,Germany,Stockholm,Sweden,,
