,Composer,Composer life dates
,,
984399,"Marsolo, Pietro Maria",1580-1615
346822,"Marson, George",1573-1632
346916,"Marti, Estéban",-1925
347405,"Martin, George William",18-28-1881
348039,"Martinů, Bohuslav",1890-1959
349640,"Massaino, Tiburtio",1550-1608
349932,"Massenet, Jules",1842-1912
636420,"Mauro, Mattia",1545-1621
352056,"Maxson, Frederick",1862-1934
353790,"Mazzocchi, D. (Domenico)",1592-1665
911421,"McCabe, John",1939-2015
734706,"McCollin, Frances",1892-1960
338576,"McKinney, Howard D. (Howard Decker)",1889-1980
1040707,"Mealor, Paul",1975-
354260,"Mee, John H. (John Henry)",1852-1918
354318,"Megli, Dominico Maria",1572- 
354611,"Meier, Bernhard",1923-1993
354870,"Mel, Rinaldo del",1554-1598
355022,"Mellers, Wilfrid",1914-2008
985840,"Mendelssohn, Arnold",1855-1933
986377,"Menotti, Gian Carlo",1911-2007
359496,"Merlo, Alessandro",1530-1594
359548,"Merrill, Charles Henry",1885-1956
882515,"Merulo, Claudio",1533-1604
359959,"Messager, André",1853-1929
360184,"Metallo, Grammatio",1540-1615
628908,"Metzger, Ambrosius",1573-1632
362364,"Mezzogorri, Giovanni Nicolo",-1623
362558,"Micheli, Domenico",1540-1590
363031,"Migot, Georges",1891-1976
363464,"Milford, Robin",1903-1959
363854,"Milhaud, Darius",1892-1974
364416,"Miller, Charles Edward",1735-1807
903285,"Milton, John",1562-1647
365733,"Milton, John",1608-1674
366033,"Minetti, Carlo",1911-2007
366538,"Missa, Edmond",1861-1910
384583,"Mi︠a︡skovskiĭ, N. (Nikolaĭ)",1881-1950
366943,"Moeran, E. J. (Ernest John)",1894-1950
367266,"Moffat, Alfred",1866-1950
368322,"Mompellio, Federico",1908-1989
987741,"Monnikendam, Marius",1896-1977
369425,"Monte, Philippe de",1521-1603
369509,"Montella, Giovan Domenico",1570-1607
369623,"Monteverdi, Claudio",1567-1643
802941,"Montgomery, Merle",1904-1989
370029,"Montgomery, W. H. (William Henry)",1810-1886
371744,"Morata, Ginés de",-1576
988213,"Morley, Thomas",1557-1603
1036597,"Mornington, Garrett Colley Wellesley, Earl of",1735-1781
650044,"Morris, Haydn",1891-1965
898227,"Morton, Robert",1430-1475
374725,"Mosto, Giovanni Battista",1549-1596
381947,"Mullen, Frederic",1868-1936
903288,"Mundy, John",1555-1630
383937,"Musgrave, Thea",1928
899801,"Naich, Hubert",1513-1546
385160,"Nanino, Giovanni Bernardino",1560-1623
385173,"Nanino, Giovanni Maria",1543-1607
991100,"Nascimbeni, Maria Francesca",1658-1680
385405,"Nasco, Giovanni",1510-1561
869486,"Nasco, Jan",1510-1561
386068,"Naylor, Bernard",1907-1986
387179,"Nelson, Paul",1929-2008
387572,"Nenna, Pomponio",1550- 1613
387721,"Netherclift, Joseph",1792-1863
1040025,"Neusidler, Melchior",1531-1590
388113,"Neustedt, Charles",1838-1908
388514,"Nevin, Ethelbert",1862-1901
388735,"Nevin, George B. (George Balch)",1859-1933
388965,"Newark, William",1450-1509
389079,"Newell, J. E. (Joseph Edward)",1843-
389620,"Newton, Ernest",1856-1922
856627,"Niccoló, da Perugia",1360
390536,"Nicol, Edward",1864-1948
1035335,"Nicoletti, Filippo",1577-1620
390789,"Nicolson, Richard",1577-1620
391065,"Nielsen, Riccardo",1908-1982
704394,"Nitke, Maurice",1918-1928
391925,"Noble, T. Tertius (Thomas Tertius)",1867-1953
991828,"Nola, Giovanni Domenico da",1510-1592
869620,"Nono, Luigi",1924-1990
392519,"Norcome, Daniel",1601
392934,"Norsa, Vittorio",1859-1933
393407,"Notari, Angelo",1566-1663
393963,"Novello, Vincent",1781-1861
398015,"Oliphant, Thomas",1799-1873
398378,"Oller, Maria Teresa",1920-2018
399128,"Orchard, William Arundel",1867-1961
399356,"Oristagno, Giulio d'",1543-1623
399358,"Orlandi, Santi",1619
888325,"Orologio, Alessandro",1550-1633
888548,"Orso, Francesco",1567-1581
399730,"Orton, Richard H.",1940-2013
400178,"Osborne, G. A. (George Alexander)",1806-1893
400825,"Otto, Stephan",1603-1656
992970,"Ovalle, Jayme",1894-1955
401377,"Owen, David Wylor",1845-1927
401834,"Pace, Pietro",1559-1622
401838,"Pacelli, Asprilio",1570-1623
993121,"Padbrué, Cornelis Thymanszoon",1592-1670
403417,"Palau, Manuel",1893-1967
403422,"Palazzotto E Tagliavia, Gioseppe",1587-1633
403794,"Palestrina, Giovanni Pierluigi da",1525-1594
899812,"Pallavicino, Benedetto",1551-1601
404193,"Palmer, Robert",1915-2010
404479,"Pane, Domenico dal",1630-1694
405234,"Parabosco, Girolamo",1524-1557
405527,"Parfrey, R. J. (Raymond J.)",1928-2008
405531,"Pari, Claudio",1574-1619
406961,"Parry, C. Hubert H. (Charles Hubert Hastings)",1848-1918
407245,"Parry, John",1776-1851
408354,"Pascal, Florian",1847-1923
408430,"Pascarola, Giovanni Thomaso de Benedictis da",1550-1601
408645,"Pasternack, Josef",1881-1940
408753,"Patrick, Nathaniel",1590
408927,"Pattison, Lee",1890-1966
409941,"Pearce, Charles William",1856-1928
886623,"Pearce, Malcolm",1950
994360,"Pearsall, R. L.",1795-1856
900835,"Pearsall, R. L. (Robert Lucas)",1795-1856
994361,"Pearsall, R. L. de",1795-1856
888321,"Pearsall, R.L (Robert Lucas)",1795-1856
410151,"Pearsall, Robert Lucas",1795-1856
994357,"Pearsall, Robert Lucas de",1795-1856
994367,"Pearsall, Robert Luis de",1795-1856
410587,"Pearson, William Webster",1883
881996,"Pecci, Tomaso",1576-1606
994388,"Pecci, Tommaso",1576-1606
410811,"Pedersøn, Mogens",1585-1623
412043,"Peragallo, Mario",1910-1996
858885,"Perissone, Cambio",1520-1550
413029,"Perlet, Herman",1862-1916
413790,"Pesciolini, Biagio",1610
413796,"Pesenti, Benedetto",1545-1591
413799,"Pesenti, Martino",1600-1648
995084,"Pesse, Maurice",1881-1943
414718,"Petrassi, Goffredo",1904-2003
415208,"Pevernage, Andreas",1543-1591
416001,"Philips, Peter",1561-1628
417684,"Pieraccini, Emilio V.",1828-1902
418282,"Pilkington, Francis",1562-1638
995922,"Pinkham, Daniel",1923-2006
419759,"Pitt, Percy",1870-1932
422019,"Polignac, Edmond Jean Marie Melchior de, Prince",1834-1901
422319,"Pommer, John W.",1932
849934,"Ponte, Giaches de",1500- 1545
423144,"Porta, Constanzo",1528-1601
423323,"Porter, Walter",1587-1659
423365,"Portinaro, Francesco",1520-1578
423367,"Portinaro, Francesco",1520-1578
424106,"Pousseur, Henri",1929-2009
909840,"Powers, Anthony",1953
424998,"Praetorius, Michael",1571-1621
425433,"Prendergast, Arthur Hugh Dalrymple",1833-1910
426598,"Primavera, Giovan Leonardo",1540-1585
426711,"Pringle, John C. G.",1770-1830
1038164,"Prior, M.",1850
426898,"Priuli, Giovanni",1575-1629
429836,"Pudelko, Walther",1901-1944
429975,"Puget, Paul",1848-1917
430163,"Puliti, Gabriello",1583-1644
431070,"Purcell, Henry",1659-1695
431785,"Pye, Kellow John",1812-1901
431829,"Pyne, James Kendrick",1852-1938
432430,"Quilter, Roger",1877-1953
432586,"Quintiani, Lucretio",1555-1590
432745,"Rabey, Réné",1878-1958
432961,"Rae, Kenneth, pseud",1869-1942
921116,"Ragazzo, Paolo",1564
434480,"Ramsey, Robert",1590-1644
