,Composer,Composer life dates
234529,"Hathaway, Joseph W. G.",1870-1956
967940,"Haubenstock-Ramati, Roman",
236086,"Haussmann, Valentin",active 1588-1611
236153,"Havente, Pietro",
236410,"Hawes, Jack",
236474,"Hawes, William",
968858,"Haydn, Joseph",1732-1809
240736,"Heale, H. (Helene)",
851693,"Hearne, John",1937-
843740,"Helmschrott, Robert M.",1939-
912946,"Helvey, Howard",
704393,"Henderson, E.",
244386,"Henry, J. Harold",
410012,"Henry, VIII, King of England",1491-1547
245546,"Heremita, Giulio",
701373,"Hernried, Robert",
248230,"Hewlett, Thomas",
249850,"Hilton, John",-approximately 1608
249870,"Hilton, John",1599-1657
970853,"Hindemith, Paul",1895-1963
251511,"Hobbs, John William",1799-1877
253300,"Holborne, Anthony",-1602
253301,"Holborne, William",
971470,"Holbrooke, Joseph",1878-1958
253892,"Holford, Franz",
254558,"Holloway, Robin",
254799,"Holmes, John",
903859,"Holmes, John",-1629
255764,"Homans, Josephine",
257085,"Hook, Mr (James)",1746-1827
257537,"Hopkins, John Larkin",
258288,"Horne, Elsie",
258641,"Horsley, Charles Edward",1822-1876
258703,"Horsley, William",1774-1858
897981,"Hoste, da Reggio",active 1545-1560
260064,"Howe, James",
972594,"Howells, Herbert",1892-1983
972701,"Hrušovský, Ivan",
260607,"Huarte, Julian",
260991,"Hudson, Arthur",
261922,"Hughes, Herbert",1882-1937
262517,"Hullah, John",1812-1884
263893,"Hunt, Harry Ernest",
903286,"Hunt, Thomas",1580-1658
264060,"Hunt, Thomas",
264266,"Huntley, George Frederick",
617433,"Hyde, Herbert E.",
266494,"Ibberson, William Henry",
266895,"Il Verso, Antonio",
930980,"Il Verso, Antonio",-1621
266792,"Iles, Edward",
267176,"Indy, Vincent d'",1851-1931
910455,"Ingegneri, Marc Antonio",1535 or 1536-1592
973574,"Ingegneri, Marc Antonio",
918710,"Ingegneri, Marc' Antonio",
874976,"Ingegneri, Marc'Antonio",approximately 1547-1592
267322,"Ingegneri, Marco Antonio",
916288,Invitation to the partsong vol.7,
267692,"Ions, Thomas",
267777,"Ireland, Francis, pseud",
268186,"Isaac, Heinrich",approximately 1450-1517
